id,price,brand,model,processor,ram memory,display size,storage capacity,cpu cores,graphics card,rating,reviews,name
82993a8b79,64999,dell,Latitude 3420,5.0,8,14.1,256,6,,0.0,0,"Dell Latitude 3420 i5 11th Gen | 8GB RAM | 256GB SSD | Backlit Keyboard | 14.1"" FHD Display"
db90650db6,58900,dell,Vostro 3520,5.0,8,15.6,256,8,,0.0,0,"Dell Vostro 3520 | Core™ i5-1235U | 8GB | 256GB | 15.6"" FHD | UBUNTU"
8f885ca53d,99999,acer,Swift Go,5.0,16,14.0,512,6,,0.0,0,Acer Swift Go 14 Intel Evo i5 13th Gen 13500H | 16GB DDR5 RAM | 512GB NVMe SSD | OLED ( 2880 x 1800 ) Display | Backlit Keyboard | Windows 11 Home
1a50522e2b,84000,dell,Vostro 3500,5.0,4,15.6,1024,4,,0.0,0,"Dell Vostro 3500 i5 11th Gen/ 4GB/ 1TB/ 15.6"" FHD Laptop"
9522431b9e,215000,dell,XPS 13,7.0,16,13.3,512,1,,0.0,0,Dell XPS 13 9305 I7 11 GEN / 16GB RAM / 512GB SSD / 13.3'' FHD DISPLAY
af4291c834,85890,acer,Aspire 5,7.0,8,15.6,512,10,,0.0,0,"Acer Aspire 5 i7 13th Generation - 8GB DDR5 RAM - 512GB NVMe SSD - Intel iris Xe Graphics - 15.6"" FHD Display Laptop"
9fac65dd0c,30000,lenovo,Ideapad Celeron,2.0,4,14.0,256,2,1500.0,0.0,0,Lenovo Ideapad Celeron 14 inch 4Gb Ram 256 Gb SSD
4e72a3cab5,99999,asus,ZenBook Q410VA,5.0,8,14.0,512,12,2800.0,0.0,0,Asus ZenBook Q410VA Intel EVO i5 13500H – 8GB DDR5 RAM – 512GB NVMe SSD – Iris Xe Integrated Graphics – 14.5″ 2.8K (2880 x 1800) TouchScreen Display – Inkwell Gray
63334ec0ef,59000,dell,Vostro 3520,5.0,8,15.6,512,8,,0.0,0,"Dell Vostro 3520 i5 12th generation/512gb/8gb/15.6"""
fbf1ce919e,93999,asus,Zenbook 14,5.0,8,14.0,512,6,2800.0,0.0,0,Asus Zenbook 14 Q410V Oled / i5 13gen / 8gb ddr5 ram / 512gb nvme ssd / 14inch OLED Touch Display
